Date,Zone,Abundance_Level,Other_Species,
2020/03/15,1,NA,,
2020/03/15,2,NA,,
2020/03/15,3,NA,,
2020/03/15,4,moderate,G,
2020/03/15,5,NA,,
2020/03/15,6,NA,,
2021/03/15,1,NA,,
2021/03/15,2,moderate ,,
2021/03/15,3,minimal,,
2021/03/15,4,moderate ,F,
2021/03/15,5,NA,,
2021/03/15,6,NA,,
2022/03/15,1,minimal ,,
2022/03/15,2,moderate ,,
2022/03/15,3,moderate ,,
2022/03/15,4,minimal ,,
2022/03/15,5,NA,,
2022/03/15,6,NA,,
2023/03/15,1,NA,,
2023/03/15,2,moderate,,
2023/03/15,3,minimal,,
2023/03/15,4,moderate,G,
2023/03/15,5,NA,,
2023/03/15,6,NA,,
2024/03/15,1,minimal ,,
2024/03/15,2,minimal ,,
2024/03/15,3,moderate,,
2024/03/15,4,abundant,,
2024/03/15,5,minimal ,,
2024/03/15,6,moderate ,,
2020/04/07,1,NA,,
2020/04/07,2,NA,,
2020/04/07,3,minimal,,
2020/04/07,4,abundant,,
2020/04/07,5,NA,,
2020/04/07,6,moderate,G,
2020/04/21,1,NA,,
2020/04/21,2,NA,,
2020/04/21,3,NA,,
2020/04/21,4,abundant ,,
2020/04/21,5,NA,,
2020/04/21,6,minimal,,
2021/04/07,1,NA,,
2021/04/07,2,NA,,
2021/04/07,3,moderate ,,
2021/04/07,4,moderate ,,
2021/04/07,5,NA,,
2021/04/07,6,minimal,,entanglement 
2021/04/21,1,NA,,
2021/04/21,2,NA,,
2021/04/21,3,minimal,,entanglement 
2021/04/21,4,moderate ,,
2021/04/21,5,NA,,
2021/04/21,6,minimal ,,entanglement 
2022/04/07,1,NA,,
2022/04/07,2,minimal,G,
2022/04/07,3,moderate ,,
2022/04/07,4,abundant ,,
2022/04/07,5,NA,,
2022/04/07,6,abundant ,,
2022/04/21,1,NA,,No post April 15 data report 
2022/04/21,2,NA,,
2022/04/21,3,NA,,
2022/04/21,4,NA,,
2022/04/21,5,NA,,
2022/04/21,6,NA,,
2023/04/07,1,moderate ,,
2023/04/07,2,NA,,
2023/04/07,3,NA,,
2023/04/07,4,moderate ,,
2023/04/07,5,minimal,,
2023/04/07,6,NA,,
2023/04/21,1,NA,,
2023/04/21,2,NA,,
2023/04/21,3,NA,,
2023/04/21,4,minimal ,,
2023/04/21,5,moderate,,
2023/04/21,6,NA,,
2024/04/07,1,NA,,
2024/04/07,2,NA,,
2024/04/07,3,minimal,,
2024/04/07,4,moderate ,,
2024/04/07,5,NA,,
2024/04/07,6,abundant ,,
2024/04/21,1,moderate,U,
2024/04/21,2,NA,,
2024/04/21,3,minimal,,
2024/04/21,4,moderate ,,
2024/04/21,5,NA,,
2024/04/21,6,moderate ,B,
2020/05/15,1,NA,,
2020/05/15,2,NA,,
2020/05/15,3,NA,,
2020/05/15,4,minimal,,
2020/05/15,5,NA,,
2020/05/15,6,NA,,
2021/05/15,1,moderate,U,
2021/05/15,2,NA,,
2021/05/15,3,NA,,
2021/05/15,4,moderate,,
2021/05/15,5,NA,,
2021/05/15,6,NA,,
2022/05/15,1,NA,,
2022/05/15,2,NA,,
2022/05/15,3,NA,,
2022/05/15,4,NA,,
2022/05/15,5,NA,,
2022/05/15,6,NA,,
2023/05/15,1,NA,,
2023/05/15,2,NA,,
2023/05/15,3,moderate,,
2023/05/15,4,minimal,,
2023/05/15,5,NA,,
2023/05/15,6,abundant,,
2024/05/15,1,NA,,
2024/05/15,2,NA,,
2024/05/15,3,minimal,,
2024/05/15,4,moderate,,
2024/05/15,5,NA,,
2024/05/15,6,moderate,,
