date,fishing_zone,com_management_action,rec_management_action,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6
11/02/2019,1,Closed,,,,,,,
11/02/2019,2,Closed,Open,,,,,,
11/02/2019,3,Closed,Open,,,,,,
11/02/2019,4,Closed,,,,,,,
11/02/2019,5,Closed,Open,,,,,,
11/02/2019,6,Closed,Open,,,,,,
11/03/2019,1,Closed,,,,,,,
11/03/2019,2,Closed,Open,,,,,,
11/03/2019,3,Closed,Open,,,,,,
11/03/2019,4,Closed,,,,,,,
11/03/2019,5,Closed,Open,,,,,,
11/03/2019,6,Closed,Open,,,,,,
11/04/2019,1,Closed,,,,,,,
11/04/2019,2,Closed,Open,,,,,,
11/04/2019,3,Closed,Open,,,,,,
11/04/2019,4,Closed,,,,,,,
11/04/2019,5,Closed,Open,,,,,,
11/04/2019,6,Closed,Open,,,,,,
11/05/2019,1,Closed,,,,,,,
11/05/2019,2,Closed,Open,,,,,,
11/05/2019,3,Closed,Open,,,,,,
11/05/2019,4,Closed,,,,,,,
11/05/2019,5,Closed,Open,,,,,,
11/05/2019,6,Closed,Open,,,,,,
11/06/2019,1,Closed,,,,,,,
11/06/2019,2,Closed,Open,,,,,,
11/06/2019,3,Closed,Open,,,,,,
11/06/2019,4,Closed,,,,,,,
11/06/2019,5,Closed,Open,,,,,,
11/06/2019,6,Closed,Open,,,,,,
11/07/2019,1,Closed,,,,,,,
11/07/2019,2,Closed,Open,,,,,,
11/07/2019,3,Closed,Open,,,,,,
11/07/2019,4,Closed,,,,,,,
11/07/2019,5,Closed,Open,,,,,,
11/07/2019,6,Closed,Open,,,,,,
11/08/2019,1,Closed,,,,,,,
11/08/2019,2,Closed,Open,,,,,,
11/08/2019,3,Closed,Open,,,,,,
11/08/2019,4,Closed,,,,,,,
11/08/2019,5,Closed,Open,,,,,,
11/08/2019,6,Closed,Open,,,,,,
11/09/2019,1,Closed,,,,,,,
11/09/2019,2,Closed,Open,,,,,,
11/09/2019,3,Closed,Open,,,,,,
11/09/2019,4,Closed,,,,,,,
11/09/2019,5,Closed,Open,,,,,,
11/09/2019,6,Closed,Open,,,,,,
11/10/2019,1,Closed,,,,,,,
11/10/2019,2,Closed,Open,,,,,,
11/10/2019,3,Closed,Open,,,,,,
11/10/2019,4,Closed,,,,,,,
11/10/2019,5,Closed,Open,,,,,,
11/10/2019,6,Closed,Open,,,,,,
11/11/2019,1,Closed,,,,,,,
11/11/2019,2,Closed,Open,,,,,,
11/11/2019,3,Closed,Open,,,,,,
11/11/2019,4,Closed,,,,,,,
11/11/2019,5,Closed,Open,,,,,,
11/11/2019,6,Closed,Open,,,,,,
11/12/2019,1,Closed,,,,,,,
11/12/2019,2,Closed,Open,,,,,,
11/12/2019,3,Closed,Open,,,,,,
11/12/2019,4,Closed,,,,,,,
11/12/2019,5,Closed,Open,,,,,,
11/12/2019,6,Closed,Open,,,,,,
11/13/2019,1,Closed,,,,,,,
11/13/2019,2,Closed,Open,,,,,,
11/13/2019,3,Closed,Open,,,,,,
11/13/2019,4,Closed,,,,,,,
11/13/2019,5,Closed,Open,,,,,,
11/13/2019,6,Closed,Open,,,,,,
11/14/2019,1,Closed,,,,,,,
11/14/2019,2,Closed,Open,,,,,,
11/14/2019,3,Closed,Open,,,,,,
11/14/2019,4,Closed,,,,,,,
11/14/2019,5,Closed,Open,,,,,,
11/14/2019,6,Closed,Open,,,,,,
11/15/2019,1,Closed,,C,C,,,,
11/15/2019,2,Closed,,C,C,,,,
11/15/2019,3,Closed,,,,"H, L",H,,
11/15/2019,4,Closed,,,,"H, L",H,,
11/15/2019,5,Closed,,,,"H, L",H,,
11/15/2019,6,Closed,,,,"H, L",H,,
11/16/2019,1,Closed,,C,C,,,,
11/16/2019,2,Closed,,C,C,,,,
11/16/2019,3,Closed,,,,"H, L",H,,
11/16/2019,4,Closed,,,,"H, L",H,,
11/16/2019,5,Closed,,,,"H, L",H,,
11/16/2019,6,Closed,,,,"H, L",H,,
11/17/2019,1,Closed,,C,C,,,,
11/17/2019,2,Closed,,C,C,,,,
11/17/2019,3,Closed,,,,"H, L",H,,
11/17/2019,4,Closed,,,,"H, L",H,,
11/17/2019,5,Closed,,,,"H, L",H,,
11/17/2019,6,Closed,,,,"H, L",H,,
11/18/2019,1,Closed,,C,C,,,,
11/18/2019,2,Closed,,C,C,,,,
11/18/2019,3,Closed,,,,"H, L",H,,
11/18/2019,4,Closed,,,,"H, L",H,,
11/18/2019,5,Closed,,,,"H, L",H,,
11/18/2019,6,Closed,,,,"H, L",H,,
11/19/2019,1,Closed,,C,C,,,,
11/19/2019,2,Closed,,C,C,,,,
11/19/2019,3,Closed,,,,"H, L",H,,
11/19/2019,4,Closed,,,,"H, L",H,,
11/19/2019,5,Closed,,,,"H, L",H,,
11/19/2019,6,Closed,,,,"H, L",H,,
11/20/2019,1,Closed,,C,C,,,,
11/20/2019,2,Closed,,C,C,,,,
11/20/2019,3,Closed,,,,"H, L",H,,
11/20/2019,4,Closed,,,,"H, L",H,,
11/20/2019,5,Closed,,,,"H, L",H,,
11/20/2019,6,Closed,,,,"H, L",H,,
11/21/2019,1,Closed,,C,C,,,,
11/21/2019,2,Closed,,C,C,,,,
11/21/2019,3,Closed,,,,"H, L",H,,
11/21/2019,4,Closed,,,,"H, L",H,,
11/21/2019,5,Closed,,,,"H, L",H,,
11/21/2019,6,Closed,,,,"H, L",H,,
11/22/2019,1,Closed,,C,C,,,,
11/22/2019,2,Closed,,C,C,,,,
11/22/2019,3,Closed,,,,"H, L",H,,
11/22/2019,4,Closed,,,,"H, L",H,,
11/22/2019,5,Closed,,,,"H, L",H,,
11/22/2019,6,Closed,,,,"H, L",H,,
11/23/2019,1,Closed,,C,C,,,,
11/23/2019,2,Closed,,C,C,,,,
11/23/2019,3,Closed,,,,"H, L",H,,
11/23/2019,4,Closed,,,,"H, L",H,,
11/23/2019,5,Closed,,,,"H, L",H,,
11/23/2019,6,Closed,,,,"H, L",H,,
11/24/2019,1,Closed,,C,C,,,,
11/24/2019,2,Closed,,C,C,,,,
