Field Number(s),Common Name,Observation Date,Observation Year,How Observed,Observation Status,Final SIM Status,In MMHSRP Stranding DB,State,County,City,Locality Detail,Latitude,Latitude Units,Longitude,Longitude Units,Date of Examination,Condition at Examination,Vessel Type,Sex,Age Class,Length,Length Units,Necropsied,Date of Necropsy,Carcass Disposition,Additional Remarks,
19801024-Bm,Blue Whale,10/24/1980,1980,,Condition Unknown,NO DATA,No,WA,King,Seattle,Puget Sound,47.5878,decimal degrees,-122.339,decimal degrees,,Condition Unknown,Unknown,FEMALE,UNKNOWN,1615,cm,,,Left at Site,,
CRC-221,Gray Whale,4/11/1985,1985,NO DATA,Moderate Decomposition,NO DATA,No,WA,,,Long Beach Peninsula,,,,,,,Unknown,Male,Unknown,,,,,,"Hit by a large vessel, unknown if the live when hit. 3 slashes. Flukes cut off; back broken, props severed the vertebrae; posterior to ventral prop slash. ",
NMML#86-BP-001,Minke Whale,4/28/1985,1985,NO DATA,Fresh,NO DATA,No,WA,,,San Juan Channel,,,,,,,Unknown,Male,Calf,,,,,,When the animal was turned over some slash marks were observed on the ventral side. These marks looked like prop marks however these could have occurred after the death of the whale. ,
FNW-86-008,Fin Whale,4/6/1986,1986,NO DATA,Moderate Decompostion,NO DATA,No,WA,,,Hit 200 miles off of Cape Flattery. Brought in on bow into Tacoma,,,,,,,Shipping,Female,Unknown,,,,,,Whale was probably dead 2 or more weeks when it was hit by the vessel and brought to the dock. Vessel was not aware the whale was hit until it tied up in Tacoma although they reported the vessel shuddered 200 miles out and assumed that was when the whale was hit. ,
8609001,Blue Whale,9/1/1986,1986,NO DATA,NO DATA,DEAD,No,CA,15-Los Angeles,NO DATA,LOS ANGELES HARBOR,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Shipping,FEMALE,ADULT,2250,cm,NO DATA,NO DATA,NO DATA,"HIT BY CONTAINER SHIP IN SANTA BARBARA CHANNEL, DRAPED AROUND BOW, & BROUGHT INTO LOS ANGELES HARBOR",
8701006,Gray Whale,1/21/1987,1987,NO DATA,NO DATA,DEAD,No,CA,12-San Luis Obispo,NO DATA,1/2 MILE SOUTH OF ARROYO GRANDE CREEK,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,CALF,610,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; APPEARED TO HAVE BEEN HIT BY A BOAT PROPELLER,
8702034,Gray Whale,2/14/1987,1987,NO DATA,NO DATA,DEAD,No,CA,14-Ventura,NO DATA,50 METERS FROM SOUTHEAST SIDE OF VENTURA RIVER MOUTH,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,MALE,CALF,437,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; 4-5 PROPELLER LACERATIONS THROUGH VERTEBRAE DORSALLY AT BASE OF TAIL; SKIN SLOUGHING,
8704008,Gray Whale,4/20/1987,1987,NO DATA,NO DATA,DEAD,No,CA,16-Orange,NO DATA,NAVAL WEAPONS STATION,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,SUBADULT,920,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; 18 PROPELLER SLASHES ANTERIOR TO GENITAL SLIT DOWN TO CAUDAL PEDUNCLE,
8705005,Gray Whale,5/2/1987,1987,NO DATA,NO DATA,DEAD,No,CA,04-Marin,NO DATA,FORT BAKER,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,ADULT,1150,cm,NO DATA,NO DATA,NO DATA,"DEAD STRANDING; PROPELLER CUTS, INDICATING COLLISION WITH  LARGE VESSEL; LACTATING",
8708001,Blue Whale,8/3/1987,1987,NO DATA,NO DATA,DEAD,No,CA,15-Los Angeles,NO DATA,"CONTAINER TERMINAL, PIER J, LONG BEACH HARBOR",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Shipping,FEMALE,YEARLING,1410,cm,NO DATA,NO DATA,NO DATA,"HIT BY CONTAINER SHIP IN SANTA BARBARA CHANNEL, DRAPED AROUND BOW, & BROUGHT INTO LONG BEACH HARBOR ",
8810002,Gray Whale,1/11/1988,1988,NO DATA,NO DATA,DEAD,No,CA,04-Marin,NO DATA,SAN FRANCISCO BAY,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,SUBADULT,800,cm,NO DATA,NO DATA,NO DATA,"NON-OVULATING FEMALE, DEAD 36-48 HOURS; FLOATING CARCASS TOWED TO NMFS DOCK AT TIBURON; KILLED BY LARGE SHIP'S PROPELLER, SEVERING SPINAL CORD AT SKULL'S OCCIPITAL CONDYLES DORSALLY; ADDITIONAL 4 FOOT INCISION IN CAUDAL REGION",
890611BmSS,Blue whale,6/11/1989,1989,NO DATA,,NO DATA,No,WA,,,Tacoma,,,,,,,Unknown,,,,,,,,No notes,
9005195,Unidentified Whale,5/31/1990,1990,NO DATA,NO DATA,DEAD,No,CA,17-San Diego,NO DATA,"OPEN WATER, SOUTH OF SAN CLEMENTE ISLAND",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,1219.2,cm,NO DATA,NO DATA,NO DATA,"AFTER COLLIDING WITH NAVY VESSEL, LARGE PORTIONS OF ANIMAL'S REMAINS WERE OBSERVED FLOATING NEAR SURFACE IN LARGE POOL OF BLOOD; REMAINS THEN SANK",
9006099,Unidentified Whale,6/15/1990,1990,NO DATA,NO DATA,DEAD,No,CA,17-San Diego,NO DATA,"OPEN WATER, SOUTHEAST OF SAN CLEMENTE ISLAND",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,,cm,NO DATA,NO DATA,NO DATA,NAVY VESSEL COLLIDED WITH WHALE; LARGE BLOOD POOL OBSERVED; NO SUBSEQUENT SIGHTINGS; SURVIVAL NOT PROBABLE,
9104026,Gray Whale,4/3/1991,1991,NO DATA,NO DATA,DEAD,No,CA,04-Marin,NO DATA,"HAMILTON AIR FORCE BASE, 200 YARDS OFF STATE ROUTE 300",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,MALE,ADULT,1223,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; 5 PROPELLER-LIKE CUTS  ON RIGHT DORSAL SURFACE ,
9104136,Gray Whale,4/13/1991,1991,NO DATA,NO DATA,DEAD,No,CA,06-Contra Costa,NO DATA,"EAST BAY REGIONAL PARKS, POINT RICHMOND",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,SUBADULT,962.66,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; 6-7 FRESH PROPELLER-LIKE CUTS ON BACK,
9104168,Gray Whale,4/17/1991,1991,NO DATA,NO DATA,DEAD,No,CA,07-Alameda,NO DATA,"SAN FRANCISCO BAY NATIONAL WILDLIFE REFUGE, 0.5 MILES NORTH OF DUNBARTON BRIDGE",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,ADULT,1143,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; POSSIBLE BOAT COLLISION,
9108050,Fin Whale,8/12/1991,1991,NO DATA,NO DATA,DEAD,No,CA,15-Los Angeles,NO DATA,"BERTH 69, LOS ANGELES HARBOR",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Shipping,MALE,UNKNOWN,1350,cm,NO DATA,NO DATA,NO DATA,ANIMAL HIT BY FREIGHTER NORTH OF LOS ANGELES HARBOR; CARCASS BROUGHT INTO HARBOR DRAPED ACROSS VESSEL'S BOW ,
9304076,Gray Whale,4/6/1993,1993,NO DATA,NO DATA,DEAD,No,CA,17-San Diego,NO DATA,8 MILES OFFSHORE OCEANSIDE,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,1066.8,cm,NO DATA,NO DATA,NO DATA,"NAVY VESSEL COLLIDED WITH WHALE; ANIMAL SUFFERED 7"" DEEP, 3"" X 4"" WIDE GASH ON DORSAL SURFACE FROM PROPELLERS; FOLLOWING COLLISION, ANIMAL CIRCLED BOAT TWICE, BLEEDING PROFUSELY & THEN FLOATED BELLY-UP",
9308005,Blue Whale,8/2/1993,1993,NO DATA,NO DATA,DEAD,No,CA,14-Ventura,NO DATA,"SAN NICOLAS ISLAND, WEST END",NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,FEMALE,ADULT,2440,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; 10' X 10' BRUISE (HEMATOMA) IN LOWER RIGHT JAW & GULAR REGIONS; 3-5 PROPELLER-LIKE SLASHES THROUGH VENTRAL PLEATS IN GULAR REGION,
9405127,Gray Whale,5/14/1994,1994,NO DATA,NO DATA,DEAD,No,CA,12-San Luis Obispo,NO DATA,PIER AVENUE RAMP,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,Unknown,UNKNOWN,UNKNOWN,765,cm,NO DATA,NO DATA,NO DATA,DEAD STRANDING; PROPELLER-LIKE  MARKS ON TORSO,
9501002,Gray Whale,1/2/1995,1995,NO DATA,NO DATA,POSSIBLE INJURY,No,CA,13-Santa Barbara,NO DATA,OFFSHORE ANACAPA ISLAND,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,WhaleWatch,UNKNOWN,ADULT,1143,cm,NO DATA,NO DATA,NO DATA,"WHALE WATCH VESSEL COLLIDED WITH ADULT ANIMAL; IMMEDIATELY FOLLOWING COLLISION, AMIMAL SURFACED ASTERN OF VESSEL, SWIMMING UPSIDE DOWN WITH PECTORAL FINS VISIBLE & SWIMMING IN AN ERRATIC PATTERN; ANIMAL THEN APPEARED TO SWIM AWAY IN A NORMAL FASHION; FINAL STATUS UNKNOWN",
9502067,Unidentified Whale,2/27/1995,1995,NO DATA,NO DATA,PROBABLE DEAD,No,CA,15-Los Angeles,NO DATA,OFFSHORE LONG BEACH,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,US NAVY,UNKNOWN,UNKNOWN,609.6,cm,NO DATA,NO DATA,NO DATA,"NAVY VESSEL COLLIDED WITH WHALE; ANIMAL OBSERVED IN VESSEL'S WAKE FOLLOWING COLLISION, BLOOD OBSERVED IN WATER",
